id;name;short_name;number_of_people;division_type;color_background;color_text
1;magenta Nevada Granite;Forward;7273;SUBGROUP;Director Public-key XSS;program Berkshire withdrawal
2;Orchestrator Chair digital;1080p full-range;73156;SCHOOL;Car Quality Corporate;vortals Pakistan
3;Home Loan Account Wyoming;Rubber;67545;SUBGROUP;ADP Direct;eyeballs viral moratorium
4;Buckinghamshire interfaces collaborative;front-end De-engineered;65590;SCHOOL;Handmade Fresh Chair;web-enabled
5;Awesome Metal Ball open system quantify;digital firewall;61010;SCHOOL;uniform;Generic Metal Hat Ball
6;Grocery;Product Re-engineered;9130;SCHOOL;Wooden Mississippi Ergonomic Steel Tuna;Guinea embrace Egypt
7;deposit 3rd generation Cambridgeshire;New Jersey;89065;SUBGROUP;e-markets copy Future;circuit Ball
8;indigo;envisioneer;43599;SCHOOL;bypassing Computer;Cheese Buckinghamshire salmon
9;Tools;multi-byte Tools;64937;SCHOOL;Towels;sensor payment bluetooth
10;New Taiwan Dollar Solutions Producer;black Fresh deposit;31974;SCHOOL;Corporate;SSL
